txn_id,amount,hour,day_of_week,latitude,longitude,city,device_id,transaction_frequency,user_avg_amount,is_new_device,amount_to_avg_ratio,is_night,is_fraud
TXN000000,3396.4,7,6,21.017407,78.983803,Nagpur,DEV_4354,5,3304.25,0,1.0276,0,0
TXN000001,18281.2,15,4,19.085584,72.753968,Mumbai,DEV_9866,3,17681.98,1,1.0338,0,0
TXN000002,849.2,10,0,18.666391,73.657989,Pune,DEV_8219,2,966.84,0,0.8774,0,0
TXN000003,129.2,8,3,26.971158,81.205449,Lucknow,DEV_8144,2,107.15,0,1.1946,0,0
TXN000004,4890.0,7,2,22.801277,88.512612,Kolkata,DEV_4666,1,6113.88,0,0.7997,0,0
TXN000005,28842.0,9,5,23.095887,77.24808,Bhopal,DEV_7003,3,36202.92,0,0.7967,0,0
TXN000006,1787.6,12,3,25.62397,84.938352,Patna,DEV_5304,1,1953.31,0,0.9147,0,0
TXN000007,849.2,3,3,18.343174,74.029749,Pune,DEV_7670,1,1083.25,0,0.7832,1,0
TXN000008,1820.4,18,6,20.994139,79.31065,Nagpur,DEV_6517,1,1904.39,0,0.9554,0,0
TXN000009,15917.2,9,0,22.982472,77.368855,Bhopal,DEV_3084,5,17631.45,0,0.9027,0,0
TXN000010,1270.8,20,5,25.578612,85.200306,Patna,DEV_4113,1,1046.31,0,1.2134,0,0
TXN000011,3219.6,16,4,22.980821,72.342884,Ahmedabad,DEV_4784,1,4070.88,0,0.7907,0,0
TXN000012,10934.0,0,5,22.473851,88.337104,Kolkata,DEV_7335,1,11028.51,1,0.9913,1,0
TXN000013,232.4,19,6,13.163508,77.494521,Bangalore,DEV_5576,5,220.47,1,1.0494,0,0
TXN000014,249.2,12,1,22.691991,88.337644,Kolkata,DEV_5148,4,215.68,0,1.1501,0,0
TXN000015,130.0,10,2,18.800438,73.897947,Pune,DEV_1910,2,149.43,1,0.8642,0,0
TXN000016,409.2,19,3,22.841994,72.526277,Ahmedabad,DEV_3348,1,408.39,0,0.9995,0,0
TXN000017,769.2,7,5,13.055786,77.428888,Bangalore,DEV_6859,4,761.37,1,1.009,0,0
TXN000018,1720.4,10,3,28.533042,76.936118,Delhi,DEV_1399,1,1399.52,0,1.2284,0,0
